ID;layanan_ID;last_layanan_ID;old_antrian_ID;display_loket_ID;prefix;antrian_no;status_print;loket_no;sid;user_ID;loket_call;tingkat_kepuasan;tanggal;ambil;mulai;akhir;leave;pending;detail;detail_android;priority;active;google_token;lokasi_ambil;central_loket_start;central_loket_end;central_loket_khusus;tanggal_booking;sync_online;pc_name;metode_pembayaran_ID
58;1;1;;1;;40;0;2;1001;1;1;-;2022-10-04;07:35:29;07:44:59;07:47:35;1;0;;;0;;;kiosk;;;;;0;DESKTOP-VD50BPC;
59;1;1;;1;;41;0;1;1;1;1;-;2022-10-04;07:35:54;07:45:19;07:47:55;1;0;;;0;;;kiosk;;;;;0;LOKET-PC;
60;4;4;26;4;;23;0;4;4;1;1;-;2022-10-04;07:36:04;08:16:20;08:22:03;0;0;;;0;;;kiosk;;;;;0;;
61;6;6;31;6;;26;0;6;6;1;1;-;2022-10-04;07:36:25;08:07:42;08:40:29;0;0;;;0;;;kiosk;;;;;0;RUANGANAK-PC;
62;1;1;;1;;42;0;2;1001;1;1;-;2022-10-04;07:37:40;07:47:35;07:49:21;1;0;;;0;;;kiosk;;;;;0;DESKTOP-VD50BPC;
63;4;4;37;4;;28;0;4;4;1;1;-;2022-10-04;07:37:43;08:22:03;08:41:38;0;0;;;0;;;kiosk;;;;;0;;
64;13;13;32;;;27;0;0;0;0;0;-;2022-10-04;07:38:45;;;0;0;;;0;;;kiosk;;;;;0;LOKET-PC;
65;4;4;38;4;;29;0;4;4;1;1;-;2022-10-04;07:39:04;08:41:38;08:50:13;0;0;;;0;;;kiosk;;;;;0;;
66;4;4;39;4;;30;0;4;4;1;1;-;2022-10-04;07:40:04;08:50:13;08:51:41;0;0;;;0;;;kiosk;;;;;0;;
67;9;9;42;9;;33;0;9;9;1;1;-;2022-10-04;07:40:51;08:14:56;08:15:26;0;0;;;0;;;kiosk;;;;;0;PENGOBATAN_UMUM;
68;1;1;;1;;43;0;1;1;1;1;-;2022-10-04;07:40:53;07:47:55;07:51:26;1;0;;;0;;;kiosk;;;;;0;LOKET-PC;
69;9;9;49;9;;34;0;9;9;1;1;-;2022-10-04;07:41:35;08:15:26;08:16:25;0;0;;;0;;;kiosk;;;;;0;PENGOBATAN_UMUM;
70;1;1;;1;;44;0;2;1001;1;1;-;2022-10-04;07:42:30;07:49:21;07:51:38;1;0;;;0;;;kiosk;;;;;0;DESKTOP-VD50BPC;
